Time	Sealevel
0       0
15.920	46.28100
15.930	48.86900
15.950	51.60300
15.990	54.26400
16.020	56.99800
16.030	58.63300
16.160	61.22000
16.170	59.36500
16.300	56.72900
16.400	54.04400
16.490	51.35900
16.560	48.74700
16.578	27.19300
16.580	45.98900
16.620	19.16200
16.628	21.82200
16.630	24.48300
16.640	16.84300
16.680	32.44100
16.700	27.73000
16.708	25.46000
16.710	30.39000
16.810	32.58700
16.940	29.87800
17.000	27.21700
17.020	24.53200
17.040	21.79800
17.060	19.08800
17.080	16.42800
17.100	13.93800
17.220	12.20500
17.280	14.49900
17.310	17.18400
17.340	19.89400
17.358	22.53000
17.360	34.95500
17.390	27.92500
17.398	25.24000
17.400	33.02700
17.440	30.68300
17.620	28.56000
17.650	30.48800
17.740	31.48900
17.770	33.78300
17.830	36.44400
17.910	39.22700
17.968	41.86300
17.970	43.88900
18.020	39.44700
18.060	36.71300
18.100	34.02800
18.140	31.34200
18.158	15.23200
18.160	28.65700
18.230	12.57100
18.288	10.25200
18.290	45.11000
18.300	23.28700
18.319	25.97200
18.320	43.05900
18.359	28.63300
18.360	40.49600
18.389	31.34200
18.390	37.83600
18.420	35.19900
18.480	32.78300
18.580	30.24400
18.680	33.68600
18.700	32.12400
18.910	30.73200
19.150	30.51200
19.200	32.73400
19.230	27.70500
19.249	25.04500
19.250	34.63800
19.260	22.33500
19.280	19.65000
19.300	16.96500
19.310	14.32900
19.330	11.64300
19.390	8.86060
19.470	11.59500
19.478	14.20600
19.480	16.94000
19.489	19.65000
19.490	22.26200
19.499	8.88500
19.500	25.04500
19.509	27.68100
19.510	33.05100
19.520	35.76100
19.530	38.39700
19.620	40.13000
19.640	41.59500
19.770	37.76200
19.890	39.66600
19.920	42.05800
19.950	44.76800
19.980	47.47800
20.060	50.13800
20.149	50.84600
20.150	52.43300
20.169	45.30500
20.170	47.91700
20.179	39.83700
20.180	42.57100
20.189	34.51600
20.190	37.25000
20.199	29.17000
20.200	31.78200
20.210	26.46000
20.219	21.09000
20.220	23.72600
20.229	15.67100
20.230	18.40500
20.300	13.05900
20.350	10.71600
20.370	15.69500
20.380	18.40500
20.390	21.06600
20.398	23.82400
20.400	26.43600
20.410	29.17000
20.420	31.78200
20.430	34.56500
20.440	37.17600
20.450	39.93500
20.470	42.57100
20.490	45.23200
20.530	47.99000
20.610	50.57800
20.650	52.38400
20.710	50.65100
20.770	48.55200
20.930	46.11100
20.980	43.30300
21.000	40.64300
21.020	37.93300
21.040	35.24800
21.070	32.56300
21.080	29.90200
21.100	27.19300
21.110	24.48300
21.130	21.77400
21.150	19.08800
21.160	16.40300
21.170	14.06000
21.290	12.35100
21.370	14.74300
21.400	17.45300
21.418	20.11400
21.420	44.28000
21.440	47.03800
21.540	49.60100
21.600	51.87100
21.700	49.77200
21.710	47.33100
21.720	44.81700
21.800	50.52900
21.810	52.82300
21.880	55.50800
21.950	58.92600
21.980	57.19300
22.060	54.55600
22.090	51.84700
22.100	49.21100
22.110	46.52600
22.130	43.81600
22.140	41.08200
22.149	22.31100
22.150	38.42100
22.160	19.74800
22.320	18.30700
22.368	20.84600
22.370	42.32700
22.380	45.03700
22.430	47.84400
22.450	53.38500
22.460	51.16300
22.490	49.06400
22.560	45.98900
22.650	43.13300
22.670	41.03300
22.820	43.88900
22.920	46.03700
22.960	47.77000
23.010	45.81800
23.020	43.79200
23.080	41.10600
23.140	38.42100
23.200	35.73600
23.250	33.07600
23.270	30.36600
23.290	27.68100
23.310	24.99600
23.320	22.31100
23.340	19.62600
23.360	16.96500
23.370	14.28000
23.390	11.59500
23.470	8.71420
23.490	6.61490
23.608	11.57000
23.610	30.36600
23.619	9.10470
23.620	33.10000
23.640	35.76100
23.660	38.42100
23.690	41.10600
23.710	43.81600
23.730	46.45200
23.770	51.26100
23.790	49.43000
23.900	48.91800
23.920	47.47800
24.020	45.13400
24.120	47.69700
24.180	50.18700
24.340	51.62700
24.550	52.28600
24.650	54.55600
24.730	56.97300
24.828	58.12000
24.830	60.34200
24.860	55.24000
24.880	52.53000
24.900	49.87000
24.920	47.20900
24.930	44.52400
24.950	41.88800
24.970	39.17800
25.020	34.22300
25.030	36.39500
25.140	39.34900
25.150	42.03400
25.160	44.76800
25.180	47.52600
25.190	50.13800
25.200	57.70500
25.220	52.97000
25.230	55.72800
25.380	53.58000
25.600	54.06800
25.770	52.70100
25.990	51.50500
26.180	49.01500
26.250	46.23300
26.290	43.54700
26.320	40.88700
26.360	38.17700
26.400	35.46800
26.430	32.80700
26.470	30.12200
26.510	27.55900
26.670	25.99700
26.709	28.41300
26.710	36.46900
26.720	39.27600
26.810	41.71700
26.840	44.54800
26.860	47.18500
26.880	49.99200
26.890	53.28700
26.980	51.43200
27.150	48.77100
27.160	46.55000
27.250	44.91400
27.490	43.52300
27.570	40.61800
27.590	37.93300
27.610	35.27200
27.640	32.56300
27.650	29.87800
27.680	27.21700
27.700	24.48300
27.720	21.82200
27.740	19.16200
27.770	16.45200
27.840	13.84000
27.880	11.74100
27.900	34.73500
27.905	16.69600
27.910	32.80700
27.930	14.32900
28.040	36.27300
28.050	34.71100
28.170	31.83100
28.250	29.14500
28.340	26.58200
28.570	24.82500
28.800	26.90000
28.980	29.26800
29.050	31.17200
29.070	27.48600
29.080	24.77600
29.100	22.09100
29.120	19.40600
29.130	16.69600
29.150	14.01100
29.160	11.30200
29.200	6.29760
29.230	8.51890
29.330	12.05800
29.340	22.79900
29.350	9.66620
29.380	25.60600
29.560	27.51000
29.750	28.97500
29.930	30.14600
30.100	30.58600
30.130	32.07500
30.150	27.90100
30.190	25.24000
30.220	22.57900
30.260	19.87000
30.300	17.18400
30.340	14.49900
30.370	11.91200
30.470	9.66620
30.520	12.10700
30.530	14.74300
30.540	17.40400
30.550	20.16300
30.560	22.75000
30.570	25.53300
30.580	28.12000
30.590	30.92700
30.600	33.51500
30.630	36.24900
30.660	38.91000
30.680	41.61900
30.710	44.28000
30.750	52.77500
30.770	50.87100
30.780	48.33200
30.820	45.96400
30.920	43.05900
30.980	40.27700
31.110	37.68900
31.300	34.83300
31.540	35.02800
31.650	37.64000
31.770	39.91000
31.800	37.39600
31.810	41.96100
31.820	34.80900
31.830	32.05000
31.840	29.39000
31.850	26.68000
31.860	24.01900
31.870	21.35900
31.880	18.60000
31.885	13.27900
31.890	16.01300
31.940	10.56900
32.100	8.12830
32.260	9.56850
32.270	30.85400
32.320	33.00200
32.510	33.05100
32.670	33.73500
32.760	36.56600
32.780	39.15400
32.800	41.05800
32.860	36.73700
32.920	34.05200
33.010	31.14700
33.050	29.07200
33.210	31.58700
33.320	33.83200
33.440	35.63900
33.590	37.29800
33.640	38.88500
33.660	34.54000
33.680	31.87900
33.700	29.17000
33.720	26.48500
33.740	23.77500
33.770	21.11500
33.810	18.38100
33.890	15.64700
34.020	33.78300
34.029	16.25700
34.030	32.27000
